ev_time_on_ice,ev_time_on_ice_per_game,games_played,last_name,ot_time_on_ice,ot_time_on_ice_per_ot_game,player_id,position_code,pp_time_on_ice,pp_time_on_ice_per_game,season_id,sh_time_on_ice,sh_time_on_ice_per_game,shifts,shifts_per_game,shoots_catches,skater_full_name,team_abbrevs,time_on_ice,time_on_ice_per_game,time_on_ice_per_shift
42249,844.98,50,Matinpalo,90,11.25,8484321,D,15,0.3,20252026,4618,92.36,1165,23.3,R,Nikolas Matinpalo,OTT,46882,937.64,40.24206
36617,747.28571,49,Saad,181,10.05555,8476438,L,109,2.22448,20252026,2626,53.59183,871,17.77551,L,Brandon Saad,VGK,39352,803.10204,45.18025
26462,540.04081,49,Tsyplakov,0,0,8484958,R,351,7.16326,20252026,2,0.04081,601,12.2653,L,Maksim Tsyplakov,"NYI,NJD",26815,547.24489,44.6173
43133,880.2653,49,Perreault,197,19.7,8484210,R,3867,78.91836,20252026,0,0,990,20.20408,L,Gabe Perreault,NYR,47000,959.18367,47.47474
29576,603.59183,49,Gatcomb,0,0,8483553,C,80,1.63265,20252026,0,0,683,13.93877,R,Marc Gatcomb,NYI,29656,605.22448,43.4202
26909,549.16326,49,Sturm,48,2.66666,8481477,C,45,0.91836,20252026,5216,106.44897,724,14.77551,L,Nico Sturm,MIN,32170,656.53061,44.4337
46092,960.25,48,McDonagh,261,29,8474151,D,399,8.3125,20252026,8967,186.8125,1166,24.29166,L,Ryan McDonagh,TBL,55458,1155.375,47.5626
26873,571.76595,47,Schaefer,0,0,8483513,L,26,0.55319,20252026,290,6.17021,615,13.0851,L,Reid Schaefer,NSH,27189,578.48936,44.20975
31253,664.95744,47,Grundstrom,29,1.93333,8479336,R,75,1.59574,20252026,2093,44.53191,754,16.04255,L,Carl Grundstrom,PHI,33421,711.0851,44.32493
47646,1013.74468,47,Liljegren,671,55.91666,8480043,D,2263,48.14893,20252026,6073,129.21276,1118,23.78723,R,Timothy Liljegren,"SJS,WSH",55982,1191.10638,50.07334
28399,617.36956,46,Kozak,0,0,8482896,C,123,2.67391,20252026,2598,56.47826,784,17.04347,L,Tyson Kozak,BUF,31120,676.52173,39.69387
31513,685.06521,46,Dellandrea,4,0.33333,8480848,C,398,8.65217,20252026,7252,157.65217,862,18.73913,R,Ty Dellandrea,SJS,39163,851.36956,45.43271
30419,661.2826,46,Heinen,0,0,8478046,L,336,7.30434,20252026,543,11.80434,716,15.56521,L,Danton Heinen,"PIT,CBJ",31298,680.3913,43.71229
30183,656.15217,46,Walker,0,0,8477573,L,122,2.65217,20252026,2787,60.58695,778,16.91304,L,Nathan Walker,STL,33092,719.3913,42.5347
31418,698.17777,45,Misa,120,13.33333,8485402,C,3148,69.95555,20252026,23,0.51111,728,16.17777,L,Michael Misa,SJS,34589,768.64444,47.51236
31762,705.82222,45,Truchon-Viel,0,0,8479705,L,387,8.6,20252026,62,1.37777,734,16.31111,L,Jeffrey Truchon-Viel,"BOS,ANA",32211,715.8,43.88419
22567,501.48888,45,Lazar,0,0,8477508,C,22,0.48888,20252026,1494,33.2,650,14.44444,R,Curtis Lazar,EDM,24083,535.17777,37.05076
26858,596.84444,45,Erne,0,0,8477454,L,64,1.42222,20252026,96,2.13333,636,14.13333,L,Adam Erne,DAL,27018,600.4,42.48113
48524,1102.81818,44,Ristolainen,288,20.57142,8477499,D,3515,79.88636,20252026,4420,100.45454,1199,27.25,R,Rasmus Ristolainen,PHI,56459,1283.15909,47.0884
24527,557.43181,44,Harkins,0,0,8478424,C,609,13.8409,20252026,183,4.15909,616,14,L,Jansen Harkins,ANA,25319,575.43181,41.10227
33035,750.79545,44,Norris,581,83,8480064,C,8660,196.81818,20252026,102,2.31818,907,20.61363,L,Josh Norris,BUF,41797,949.93181,46.08269
23364,531,44,Finley,8,0.72727,8482090,C,395,8.97727,20252026,1873,42.56818,664,15.0909,R,Jack Finley,"TBL,STL",25632,582.54545,38.6024
31842,723.68181,44,Shabanov,403,44.77777,8485702,R,4281,97.29545,20252026,0,0,736,16.72727,L,Maxim Shabanov,NYI,36123,820.97727,49.08016
33650,782.55813,43,Kurashev,235,19.58333,8480798,C,4753,110.53488,20252026,1565,36.39534,824,19.16279,L,Philipp Kurashev,SJS,39968,929.48837,48.50485
27406,637.34883,43,Metsa,0,0,8484305,D,94,2.18604,20252026,797,18.53488,589,13.69767,R,Zach Metsa,BUF,28297,658.06976,48.04244
17369,403.93023,43,Douglas,0,0,8480876,C,7,0.16279,20252026,39,0.90697,438,10.18604,L,Curtis Douglas,"TBL,VAN",17415,405,39.76027
26681,620.48837,43,Janmark,0,0,8477406,C,33,0.76744,20252026,3879,90.2093,693,16.11627,L,Mattias Janmark,EDM,30593,711.46511,44.14574
27226,633.16279,43,Steeves,46,5.11111,8482634,C,2276,52.93023,20252026,1272,29.58139,689,16.02325,L,Alex Steeves,BOS,30774,715.67441,44.66473
40932,951.90697,43,Maatta,219,21.9,8476874,D,102,2.37209,20252026,3377,78.53488,933,21.69767,L,Olli Maatta,"UTA,CGY",44411,1032.81395,47.60021
30424,707.53488,43,Barkey,109,8.38461,8484142,C,4156,96.65116,20252026,11,0.25581,753,17.51162,L,Denver Barkey,PHI,34591,804.44186,45.93758
29615,688.72093,43,James,43,4.3,8483752,C,1787,41.55813,20252026,169,3.93023,654,15.2093,L,Dominic James,TBL,31571,734.2093,48.2737
34413,819.35714,42,Carlile,23,2.3,8483398,D,5,0.11904000000000001,20252026,2823,67.21428,802,19.09523,L,Declan Carlile,TBL,37241,886.69047,46.43516
